sep=|
ESTADO|DISTRITO|PARTIDO_CI|CANDIDATURA_PROPIETARIA|CANDIDATURA_SUPLENTE
3|1|PANAL|RICARDO GAMEZ CASAL|ARIEL ENRIQUE CASAL LOPEZ
3|1|MORENA|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|PES|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|PAN-PRD-MC|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PAN-PRD|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PAN-MC|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PRD-MC|VENUSTIANO PEREZ SANCHEZ|ISAAC MAGALLANES JORDAN
3|1|PT-MORENA-PES|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|PT-MORENA|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|PT-PES|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|1|MORENA-PES|ANA RUTH GARCIA GRANDE|YOLANDA JIMENEZ ESPINOZA
3|2|PAN|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PRI|JESÚS FLORES ROMERO|FRANCISCO JAVIER ALVAREZ COTA
3|2|PRD|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PVEM|MARIA DE JESUS CRUZ MEDINA|LINDA JOANNA PERALTA CESEÑA
3|2|PT|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|MC|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PANAL|EMILIA VEGA URIBE|MARTHA AURORA EGREMY MARTINEZ
3|2|MORENA|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|PES|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|PAN-PRD-MC|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PAN-PRD|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PAN-MC|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PRD-MC|EDA MARIA PALACIOS MARQUEZ|LILIANA DEL CARMEN NUÑEZ COSIO
3|2|PT-MORENA-PES|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|PT-MORENA|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|PT-PES|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
3|2|MORENA-PES|ALFREDO PORRAS DOMINGUEZ|MARCO ANTONIO CESEÑA SANDOVAL
4|1|PAN|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PRI|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|PRD|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PVEM|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|PT|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|MC|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PANAL|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|MORENA|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|PES|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|PAN-PRD-MC|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PAN-PRD|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PAN-MC|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PRD-MC|MANUEL HUMBERTO SANTOS CUITUNY|LUIS FERNANDO PEREYRA TORRES
4|1|PT-MORENA-PES|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|PT-MORENA|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|PT-PES|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|MORENA-PES|CARLOS ENRIQUE MARTÍNEZ AKE|DANIEL JESUS GOMEZ VARGAS
4|1|PRI-PVEM-NA|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|PRI-PVEM|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|PRI-NA|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|1|PVEM-NA|JORGE ALBERTO CHANONA ECHEVERRIA|WILBERT ARIEL RUIZ POOT
4|2|PAN|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PRI|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
4|2|PRD|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PVEM|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
4|2|PT|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|MC|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PANAL|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
4|2|MORENA|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|PES|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|PAN-PRD-MC|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PAN-PRD|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PAN-MC|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PRD-MC|ILEANA JANNETTE HERRERA PEREZ|VICTORIA ALVAREZ CASANOVA
4|2|PT-MORENA-PES|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|PT-MORENA|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|PT-PES|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|MORENA-PES|IRASEMA DEL CARMEN BUENFIL DIAZ|AZALIA DEL CARMEN KURI GARCIA
4|2|PRI-PVEM-NA|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
4|2|PRI-PVEM|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
4|2|PRI-NA|DULCE MARIA CERVERA CETINA|ELIA OCAÑA HERNANDEZ
